InceptModel	InceptPerf	ModelCNN	CNNPerf	PerfDiff
ImageNetInceptionV2	0,72	CNNModel	0,68	0,04
ImageNetInceptionV2	0,62	CNNModel	0,58	0,04
ImageNetInceptionV2	0,57	CNNModel	0,53	0,04
ImageNetInceptionV2	0,52	CNNModel	0,48	0,04
ImageNetInceptionV2	0,42	CNNModel	0,38	0,04
ImageNetInceptionV2	0,92	CNNModel	0,87	0,05
ImageNetInceptionV2	0,92	CNNModel	0,87	0,05
ImageNetInceptionV2	0,9	CNNModel	0,85	0,05
ImageNetInceptionV2	0,84	CNNModel	0,79	0,05
ImageNetInceptionV2	0,8	CNNModel	0,75	0,05
ImageNetInceptionV2	0,76	CNNModel	0,71	0,05
ImageNetInceptionV2	0,73	CNNModel	0,68	0,05
ImageNetInceptionV2	0,72	CNNModel	0,67	0,05
ImageNetInceptionV2	0,71	CNNModel	0,66	0,05
ImageNetInceptionV2	0,66	CNNModel	0,61	0,05
ImageNetInceptionV2	0,97	CNNModel	0,91	0,06
ImageNetInceptionV2	0,87	CNNModel	0,81	0,06
ImageNetInceptionV2	0,85	CNNModel	0,79	0,06
ImageNetInceptionV2	0,58	CNNModel	0,52	0,06
ImageNetInceptionV2	0,54	CNNModel	0,48	0,06
ImageNetInceptionV2	0,43	CNNModel	0,37	0,06
ImageNetInceptionV2	1	CNNModel	0,93	0,07
ImageNetInceptionV2	0,92	CNNModel	0,85	0,07
ImageNetInceptionV2	0,9	CNNModel	0,83	0,07
ImageNetInceptionV2	0,84	CNNModel	0,77	0,07
ImageNetInceptionV2	0,83	CNNModel	0,76	0,07
ImageNetInceptionV2	0,8	CNNModel	0,73	0,07
ImageNetInceptionV2	0,71	CNNModel	0,64	0,07
ImageNetInceptionV2	0,67	CNNModel	0,6	0,07
ImageNetInceptionV2	0,67	CNNModel	0,6	0,07
ImageNetInceptionV2	0,66	CNNModel	0,59	0,07
ImageNetInceptionV2	0,52	CNNModel	0,45	0,07
