./tflearnModels/bestModels//best_ImageNetInceptionV2_hsa:5340_RMSprop_0.01_207739
Threshold	Accuracy	F-Score	Precision	Recall	TP	FP	TN	FN
0.9249999999999999	0.6478260869565218	0.5207100591715977	0.88	0.3697478991596639	44	6	105	75
0.9239999999999999	0.6478260869565218	0.5207100591715977	0.88	0.3697478991596639	44	6	105	75
0.9229999999999999	0.6478260869565218	0.5207100591715977	0.88	0.3697478991596639	44	6	105	75
0.9219999999999999	0.6565217391304348	0.5380116959064328	0.8846153846153846	0.3865546218487395	46	6	105	73
0.9209999999999999	0.6565217391304348	0.5433526011560693	0.8703703703703703	0.3949579831932773	47	7	104	72
0.9199999999999999	0.6565217391304348	0.5433526011560693	0.8703703703703703	0.3949579831932773	47	7	104	72
0.9189999999999999	0.6608695652173913	0.5517241379310345	0.8727272727272727	0.40336134453781514	48	7	104	71
0.9179999999999999	0.6608695652173913	0.5517241379310345	0.8727272727272727	0.40336134453781514	48	7	104	71
0.9169999999999999	0.6652173913043479	0.56	0.875	0.4117647058823529	49	7	104	70
0.9159999999999999	0.6695652173913044	0.5681818181818182	0.8771929824561403	0.42016806722689076	50	7	104	69
0.9149999999999999	0.6695652173913044	0.5681818181818182	0.8771929824561403	0.42016806722689076	50	7	104	69
0.9139999999999999	0.6695652173913044	0.5681818181818182	0.8771929824561403	0.42016806722689076	50	7	104	69
0.9129999999999999	0.6695652173913044	0.5730337078651685	0.864406779661017	0.42857142857142855	51	8	103	68
0.9119999999999999	0.6695652173913044	0.5730337078651685	0.864406779661017	0.42857142857142855	51	8	103	68
0.9109999999999999	0.6695652173913044	0.5730337078651685	0.864406779661017	0.42857142857142855	51	8	103	68
0.9099999999999999	0.6739130434782609	0.5810055865921787	0.8666666666666667	0.4369747899159664	52	8	103	67
0.9089999999999999	0.6739130434782609	0.5810055865921787	0.8666666666666667	0.4369747899159664	52	8	103	67
0.9079999999999999	0.6739130434782609	0.5810055865921787	0.8666666666666667	0.4369747899159664	52	8	103	67
0.9069999999999999	0.6782608695652174	0.5888888888888889	0.8688524590163934	0.44537815126050423	53	8	103	66
0.9059999999999999	0.6782608695652174	0.5888888888888889	0.8688524590163934	0.44537815126050423	53	8	103	66
0.9049999999999999	0.6782608695652174	0.5888888888888889	0.8688524590163934	0.44537815126050423	53	8	103	66
0.9039999999999999	0.6826086956521739	0.5966850828729281	0.8709677419354839	0.453781512605042	54	8	103	65
0.9029999999999999	0.6826086956521739	0.5966850828729281	0.8709677419354839	0.453781512605042	54	8	103	65
0.9019999999999999	0.6826086956521739	0.6010928961748634	0.859375	0.46218487394957986	55	9	102	64
0.9009999999999999	0.6826086956521739	0.6010928961748634	0.859375	0.46218487394957986	55	9	102	64
0.8999999999999999	0.6826086956521739	0.6010928961748634	0.859375	0.46218487394957986	55	9	102	64
0.8989999999999999	0.6826086956521739	0.6010928961748634	0.859375	0.46218487394957986	55	9	102	64
0.8979999999999999	0.6956521739130435	0.6276595744680851	0.855072463768116	0.4957983193277311	59	10	101	60
0.8969999999999999	0.6956521739130435	0.6276595744680851	0.855072463768116	0.4957983193277311	59	10	101	60
0.8959999999999999	0.7	0.6349206349206348	0.8571428571428571	0.5042016806722689	60	10	101	59
0.8949999999999999	0.7	0.6349206349206348	0.8571428571428571	0.5042016806722689	60	10	101	59
0.8939999999999999	0.7	0.6349206349206348	0.8571428571428571	0.5042016806722689	60	10	101	59
0.8929999999999999	0.7	0.6349206349206348	0.8571428571428571	0.5042016806722689	60	10	101	59
0.8919999999999999	0.7	0.6349206349206348	0.8571428571428571	0.5042016806722689	60	10	101	59
0.8909999999999999	0.7	0.6349206349206348	0.8571428571428571	0.5042016806722689	60	10	101	59
0.8899999999999999	0.7	0.6349206349206348	0.8571428571428571	0.5042016806722689	60	10	101	59
0.8889999999999999	0.7043478260869566	0.6458333333333334	0.8493150684931506	0.5210084033613446	62	11	100	57
0.8879999999999999	0.7086956521739131	0.6528497409326426	0.8513513513513513	0.5294117647058824	63	11	100	56
0.8869999999999999	0.7086956521739131	0.6528497409326426	0.8513513513513513	0.5294117647058824	63	11	100	56
0.8859999999999999	0.7086956521739131	0.6528497409326426	0.8513513513513513	0.5294117647058824	63	11	100	56
0.8849999999999999	0.7086956521739131	0.6528497409326426	0.8513513513513513	0.5294117647058824	63	11	100	56
0.8839999999999999	0.7130434782608696	0.6597938144329897	0.8533333333333334	0.5378151260504201	64	11	100	55
0.8829999999999999	0.7130434782608696	0.6597938144329897	0.8533333333333334	0.5378151260504201	64	11	100	55
0.8819999999999999	0.717391304347826	0.6666666666666666	0.8552631578947368	0.5462184873949579	65	11	100	54
0.8809999999999999	0.717391304347826	0.6666666666666666	0.8552631578947368	0.5462184873949579	65	11	100	54
0.8799999999999999	0.717391304347826	0.6666666666666666	0.8552631578947368	0.5462184873949579	65	11	100	54
0.8789999999999999	0.717391304347826	0.6666666666666666	0.8552631578947368	0.5462184873949579	65	11	100	54
0.8779999999999999	0.717391304347826	0.6666666666666666	0.8552631578947368	0.5462184873949579	65	11	100	54
0.8769999999999999	0.717391304347826	0.6666666666666666	0.8552631578947368	0.5462184873949579	65	11	100	54
0.8759999999999999	0.717391304347826	0.6666666666666666	0.8552631578947368	0.5462184873949579	65	11	100	54
0.8749999999999999	0.7347826086956522	0.6934673366834172	0.8625	0.5798319327731093	69	11	100	50
0.8739999999999999	0.7304347826086957	0.6900000000000001	0.8518518518518519	0.5798319327731093	69	12	99	50
0.8729999999999999	0.7304347826086957	0.6900000000000001	0.8518518518518519	0.5798319327731093	69	12	99	50
0.8719999999999999	0.7304347826086957	0.6900000000000001	0.8518518518518519	0.5798319327731093	69	12	99	50
0.8709999999999999	0.7304347826086957	0.6900000000000001	0.8518518518518519	0.5798319327731093	69	12	99	50
0.8699999999999999	0.7347826086956522	0.6965174129353234	0.8536585365853658	0.5882352941176471	70	12	99	49
0.8689999999999999	0.7347826086956522	0.6965174129353234	0.8536585365853658	0.5882352941176471	70	12	99	49
0.8679999999999999	0.7347826086956522	0.6965174129353234	0.8536585365853658	0.5882352941176471	70	12	99	49
0.8669999999999999	0.7347826086956522	0.6965174129353234	0.8536585365853658	0.5882352941176471	70	12	99	49
0.8659999999999999	0.7347826086956522	0.6965174129353234	0.8536585365853658	0.5882352941176471	70	12	99	49
0.8649999999999999	0.7391304347826086	0.7029702970297028	0.8554216867469879	0.5966386554621849	71	12	99	48
0.8639999999999999	0.7391304347826086	0.7029702970297028	0.8554216867469879	0.5966386554621849	71	12	99	48
0.8629999999999999	0.7391304347826086	0.7029702970297028	0.8554216867469879	0.5966386554621849	71	12	99	48
0.8619999999999999	0.7391304347826086	0.7029702970297028	0.8554216867469879	0.5966386554621849	71	12	99	48
0.8609999999999999	0.7391304347826086	0.7029702970297028	0.8554216867469879	0.5966386554621849	71	12	99	48
0.8599999999999999	0.7434782608695653	0.7093596059113301	0.8571428571428571	0.6050420168067226	72	12	99	47
0.8589999999999999	0.7434782608695653	0.7093596059113301	0.8571428571428571	0.6050420168067226	72	12	99	47
0.8579999999999999	0.7434782608695653	0.7093596059113301	0.8571428571428571	0.6050420168067226	72	12	99	47
0.8569999999999999	0.7478260869565218	0.7156862745098038	0.8588235294117647	0.6134453781512605	73	12	99	46
0.8559999999999999	0.7478260869565218	0.7156862745098038	0.8588235294117647	0.6134453781512605	73	12	99	46
0.8549999999999999	0.7521739130434782	0.7219512195121951	0.8604651162790697	0.6218487394957983	74	12	99	45
0.8539999999999999	0.7521739130434782	0.7219512195121951	0.8604651162790697	0.6218487394957983	74	12	99	45
0.8529999999999999	0.7478260869565218	0.7184466019417476	0.8505747126436781	0.6218487394957983	74	13	98	45
0.8519999999999999	0.7565217391304347	0.7307692307692307	0.8539325842696629	0.6386554621848739	76	13	98	43
0.8509999999999999	0.7565217391304347	0.7307692307692307	0.8539325842696629	0.6386554621848739	76	13	98	43
0.8499999999999999	0.7565217391304347	0.7307692307692307	0.8539325842696629	0.6386554621848739	76	13	98	43
0.8489999999999999	0.7565217391304347	0.7307692307692307	0.8539325842696629	0.6386554621848739	76	13	98	43
0.8479999999999999	0.7565217391304347	0.7307692307692307	0.8539325842696629	0.6386554621848739	76	13	98	43
0.8469999999999999	0.7565217391304347	0.7307692307692307	0.8539325842696629	0.6386554621848739	76	13	98	43
0.8459999999999999	0.7565217391304347	0.7307692307692307	0.8539325842696629	0.6386554621848739	76	13	98	43
0.8449999999999999	0.7521739130434782	0.7272727272727272	0.8444444444444444	0.6386554621848739	76	14	97	43
0.8439999999999999	0.7521739130434782	0.7272727272727272	0.8444444444444444	0.6386554621848739	76	14	97	43
0.8429999999999999	0.7521739130434782	0.7272727272727272	0.8444444444444444	0.6386554621848739	76	14	97	43
0.8419999999999999	0.7565217391304347	0.7333333333333334	0.8461538461538461	0.6470588235294118	77	14	97	42
0.8409999999999999	0.7608695652173914	0.7393364928909951	0.8478260869565217	0.6554621848739496	78	14	97	41
0.8399999999999999	0.7608695652173914	0.7393364928909951	0.8478260869565217	0.6554621848739496	78	14	97	41
