./tflearnModels/bestModels//best_ImageNetInceptionV2_hsa:6331_momentum_0.01_208010
Threshold	Accuracy	F-Score	Precision	Recall	TP	FP	TN	FN
0.975	0.8201634877384196	0.1081081081081081	0.06896551724137931	0.25	4	54	297	12
0.974	0.8201634877384196	0.1081081081081081	0.06896551724137931	0.25	4	54	297	12
0.973	0.8174386920980926	0.10666666666666667	0.06779661016949153	0.25	4	55	296	12
0.972	0.8147138964577657	0.10526315789473685	0.06666666666666667	0.25	4	56	295	12
0.971	0.8092643051771117	0.10256410256410256	0.06451612903225806	0.25	4	58	293	12
0.97	0.8092643051771117	0.10256410256410256	0.06451612903225806	0.25	4	58	293	12
0.969	0.8092643051771117	0.10256410256410256	0.06451612903225806	0.25	4	58	293	12
0.968	0.8038147138964578	0.1	0.0625	0.25	4	60	291	12
0.967	0.8010899182561307	0.09876543209876544	0.06153846153846154	0.25	4	61	290	12
0.966	0.8010899182561307	0.09876543209876544	0.06153846153846154	0.25	4	61	290	12
0.965	0.8010899182561307	0.09876543209876544	0.06153846153846154	0.25	4	61	290	12
0.964	0.8010899182561307	0.09876543209876544	0.06153846153846154	0.25	4	61	290	12
0.963	0.8010899182561307	0.09876543209876544	0.06153846153846154	0.25	4	61	290	12
0.962	0.7983651226158038	0.0975609756097561	0.06060606060606061	0.25	4	62	289	12
0.961	0.7983651226158038	0.0975609756097561	0.06060606060606061	0.25	4	62	289	12
0.96	0.7983651226158038	0.0975609756097561	0.06060606060606061	0.25	4	62	289	12
0.959	0.7956403269754768	0.09638554216867469	0.05970149253731343	0.25	4	63	288	12
0.958	0.7956403269754768	0.09638554216867469	0.05970149253731343	0.25	4	63	288	12
0.957	0.7956403269754768	0.09638554216867469	0.05970149253731343	0.25	4	63	288	12
0.956	0.7956403269754768	0.09638554216867469	0.05970149253731343	0.25	4	63	288	12
0.955	0.7929155313351499	0.09523809523809523	0.058823529411764705	0.25	4	64	287	12
0.954	0.7901907356948229	0.09411764705882354	0.057971014492753624	0.25	4	65	286	12
0.953	0.784741144414169	0.09195402298850576	0.056338028169014086	0.25	4	67	284	12
0.952	0.779291553133515	0.0898876404494382	0.0547945205479452	0.25	4	69	282	12
0.951	0.779291553133515	0.0898876404494382	0.0547945205479452	0.25	4	69	282	12
0.95	0.776566757493188	0.08888888888888889	0.05405405405405406	0.25	4	70	281	12
0.949	0.773841961852861	0.08791208791208792	0.05333333333333334	0.25	4	71	280	12
0.948	0.773841961852861	0.08791208791208792	0.05333333333333334	0.25	4	71	280	12
0.947	0.773841961852861	0.08791208791208792	0.05333333333333334	0.25	4	71	280	12
0.946	0.773841961852861	0.08791208791208792	0.05333333333333334	0.25	4	71	280	12
0.945	0.773841961852861	0.08791208791208792	0.05333333333333334	0.25	4	71	280	12
0.944	0.7683923705722071	0.08602150537634409	0.05194805194805195	0.25	4	73	278	12
0.943	0.7683923705722071	0.08602150537634409	0.05194805194805195	0.25	4	73	278	12
0.942	0.7683923705722071	0.08602150537634409	0.05194805194805195	0.25	4	73	278	12
0.941	0.7683923705722071	0.08602150537634409	0.05194805194805195	0.25	4	73	278	12
0.94	0.7656675749318801	0.0851063829787234	0.05128205128205128	0.25	4	74	277	12
0.939	0.7629427792915532	0.08421052631578947	0.05063291139240506	0.25	4	75	276	12
0.938	0.7629427792915532	0.08421052631578947	0.05063291139240506	0.25	4	75	276	12
0.9369999999999999	0.7629427792915532	0.08421052631578947	0.05063291139240506	0.25	4	75	276	12
0.9359999999999999	0.7629427792915532	0.08421052631578947	0.05063291139240506	0.25	4	75	276	12
0.9349999999999999	0.7574931880108992	0.08247422680412371	0.04938271604938271	0.25	4	77	274	12
0.9339999999999999	0.7574931880108992	0.08247422680412371	0.04938271604938271	0.25	4	77	274	12
0.9329999999999999	0.7574931880108992	0.08247422680412371	0.04938271604938271	0.25	4	77	274	12
0.9319999999999999	0.7574931880108992	0.08247422680412371	0.04938271604938271	0.25	4	77	274	12
0.9309999999999999	0.7574931880108992	0.08247422680412371	0.04938271604938271	0.25	4	77	274	12
0.9299999999999999	0.7574931880108992	0.08247422680412371	0.04938271604938271	0.25	4	77	274	12
0.9289999999999999	0.7574931880108992	0.08247422680412371	0.04938271604938271	0.25	4	77	274	12
