ChEMBLTargetID	UniProtAccession
CHEMBL219 P21917
CHEMBL220 P22303
CHEMBL2207 P63085
CHEMBL2208 P49137
CHEMBL221 P23219
CHEMBL2216739 Q92523
CHEMBL222 P23975
CHEMBL223 P25100
CHEMBL224 P28223
CHEMBL2243 O00519
CHEMBL225 P28335
CHEMBL2252 P53634
CHEMBL226 P30542
CHEMBL2265 P23141
CHEMBL227 P30556
CHEMBL2272 Q8VBU5
CHEMBL2274 Q9H228
CHEMBL2276 P45983
CHEMBL228 P31645
CHEMBL2285 Q9UNA0
CHEMBL2288 Q13526
CHEMBL229 P35348
CHEMBL2292 Q13627
CHEMBL230 P35354
CHEMBL2304402 O77746
CHEMBL2304404 P47745
CHEMBL231 P35367
CHEMBL2318 O75173
CHEMBL232 P35368
CHEMBL2321627 O00421
CHEMBL2326 P43166
CHEMBL2327 P21452
CHEMBL233 P35372
CHEMBL2331 P10938
CHEMBL2334 P42574
CHEMBL2335 P42785
CHEMBL2336 P47811
CHEMBL2337 P48067
CHEMBL234 P35462
CHEMBL2345 P51812
CHEMBL235 P37231
CHEMBL236 P41143
CHEMBL2363 Q920D2
CHEMBL2366 P00761
CHEMBL237 P41145
CHEMBL2373 P21730
CHEMBL238 Q01959
CHEMBL239 Q07869
CHEMBL2391 P16232
CHEMBL2397 P11497
CHEMBL240 Q12809
CHEMBL2409 P34913
CHEMBL241 Q14432
CHEMBL2413 P32246
CHEMBL2414 P51679
CHEMBL242 Q92731
CHEMBL2431 P31751
CHEMBL2434 P25025
CHEMBL2439 P05164
CHEMBL2439944 Q3SYC2
CHEMBL244 P00742
CHEMBL245 P20309
CHEMBL246 P13945
CHEMBL2461 P23687
CHEMBL2470 Q9QZN9
CHEMBL2474 P53582
CHEMBL248 P08246
CHEMBL2487 P05067
CHEMBL2488 Q62053
CHEMBL2489 P32240
CHEMBL249 P25103
CHEMBL2492 P36544
CHEMBL2499 P42337
CHEMBL250 P25105
CHEMBL2508 Q00534
CHEMBL251 P29274
CHEMBL252 P25101
CHEMBL2525 Q9Y5Z0
CHEMBL2527 O96017
CHEMBL253 P34972
CHEMBL2534 O15530
CHEMBL254 P27815
CHEMBL255 P29275
CHEMBL256 P0DMS8
CHEMBL2563 Q9UQL6
CHEMBL2564 P31424
CHEMBL2567 P20444
CHEMBL2568 P06737
CHEMBL257 P35351
CHEMBL258 P06239
CHEMBL2581 P07339
CHEMBL259 P32245
CHEMBL2590 P15145
CHEMBL2598 P41743
CHEMBL2599 P43405
CHEMBL260 Q16539
CHEMBL261 P00915
CHEMBL2611 P09958
CHEMBL2617 Q15661
CHEMBL262 P49841
CHEMBL2622 P07943
CHEMBL2625 P47820
CHEMBL263 P29089
CHEMBL2635 P51452
CHEMBL2637 P53779
CHEMBL264 Q9Y5N1
CHEMBL265 P18901
CHEMBL2652 O00408
CHEMBL2664 P23526
CHEMBL267 P12931
CHEMBL268 P43235
CHEMBL269 P33533
CHEMBL2693 Q9UIQ6
CHEMBL2695 Q05397
CHEMBL270 P33535
CHEMBL2714 P00791
CHEMBL2716 Q8WUI4
CHEMBL2717 Q9HCR9
CHEMBL2722 P19099
CHEMBL273 P19327
CHEMBL2736 Q14833
CHEMBL274 P51681
CHEMBL2742 P22607
CHEMBL2749 P05622
CHEMBL275 Q07343
CHEMBL2756 P56560
CHEMBL2758 P34949
CHEMBL276 P08482
CHEMBL2782 P35610
CHEMBL2789 P37059
CHEMBL279 P35968
CHEMBL280 P45452
CHEMBL2801 Q13557
CHEMBL2803 P43403
CHEMBL2808 Q13133
CHEMBL281 Q95323
CHEMBL2815 P04629
CHEMBL2820 P03951
CHEMBL2828 P48730
CHEMBL283 P08254
CHEMBL2835 P23458
CHEMBL284 P27487
CHEMBL2842 P42345
CHEMBL285 O70536
CHEMBL2850 P49840
CHEMBL2851 P31421
CHEMBL2854 P56481
CHEMBL2858 P42866
CHEMBL286 P00797
CHEMBL2868 P30560
CHEMBL2871 P30551
CHEMBL288 Q08499
CHEMBL2889 Q9Y2R2
CHEMBL290 Q13370
CHEMBL2903 P16050
CHEMBL2916 O14746
CHEMBL2938 P05129
CHEMBL2949 P05979
CHEMBL2954 P25774
CHEMBL2955 O95136
CHEMBL2959 Q08881
CHEMBL2966 P56658
CHEMBL2967 Q95136
CHEMBL2971 O60674
CHEMBL2973 O75116
CHEMBL298 P32239
CHEMBL299 P17252
CHEMBL2993 P19643
CHEMBL2996 Q05655
CHEMBL3004 P33527
CHEMBL301 P24941
